name,code,cooperative,district,sub_county,parish,village,contact_person,phone_number,is_vsla,created_at
Puranga shea butter association,1,Butter Association,Pader,Purongo,Kazikazi,Onyede,,0760912975,1,30-03-2023
Lim Pi Nyek group,2,Parabong Oil Seed Co-op Ent,,,,,,0784280870,1,01-04-2023
WOREKENI FARMERS GROUP- BARKEO,3,ALULA-OLILIM PDM SACCO LTD,Otuke,Olilim,Alula,Barrkeo,,0771924223,1,01-04-2023
Notte Aye Teko,4,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pabala,Opwony South,,0774622123,1,01-04-2023
Utam Piwa group,5,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pabala,Abilnino West,,0782487819,,01-04-2023
Kicaber,6,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pabala,Alela,,0783699971,,01-04-2023
Konye keni,7,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pakor,Pakor central,,0786757671,,01-04-2023
Ribe Aye Teko,8,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pakor,Kadoktar,,0778665286,,01-04-2023
Bedi ki kuc,9,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Town Ward,Town,,0782591158,,01-04-2023
Pit maber aye yot kom,10,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pacer,Jinja,,0783462465,,01-04-2023
Oryem Can Vsla Farmer Group,11,Omot Farmers Cooperative Society ltd,Agago,Omot,Atece,Atula central,,0773623950,,03-04-2023
Ogene Vsla Youth Group,12,Omot Farmers Cooperative Society ltd,Agago,Omot,Atece,Atula Central,,0775914403,,03-04-2023
Orwom ilwak Vsla Farmer Group,13,Omot Farmers Cooperative Society ltd,Agago,Omot,Atece,Atula central,,0761267550,,03-04-2023
Par Pi Dik,14,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Aywee,Awere,,0771270723,,03-04-2023
Leg Kwo,15,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Opok Rom,Bolopette,,0784770470,,03-04-2023
Gen Munu,16,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Opok Rom,Bolopette,,0775167524,,03-04-2023
Gen Munu,17,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Opok Rom,Bolopette,,0775167524,,03-04-2023
Gen Bedi,18,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Rackoko,Lunyiri West,,0757167524,,03-04-2023
Purber mixed farmer's group,19,Omot Farmers Cooperative Society ltd,Agago,Omot,Barima,Alongtek,,0763398246,,04-04-2023
Kony paco,20,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Opok Rom,Lunyiri west,,0757167424,,04-04-2023
Ngom Rom,21,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Rackoko,Laliya laroo west,,0774547299,,04-04-2023
Ripe Ber,22,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Opok Rom,Lunyiri west,,0783039726,,04-04-2023
Ogen Rwot,23,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Opok Rom,Laliya laroo,,0783039726,,04-04-2023
Ayee jale,24,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Rackoko,Lukwor Ozuu,,078813359,,04-04-2023
Eno Balutela,25,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Lagile,Wira,,0786122460,,04-04-2023
Warom,26,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Rackoko,Wiikweyo,,0780107230,,04-04-2023
Tam Pi Anyim,27,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Rackoko,Ladyanad Okun,,0770572420,,04-04-2023
Wano Anyim,28,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Rackoko,Lunyiri west,,0786122392,,04-04-2023
Lim Aye Kwo,29,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Lagile,Lamina Puu,,0774492589,,04-04-2023
Can Pe Lonyo,30,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Koch,Wiira,,0772344184,,04-04-2023
Kwo tek,31,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pacer,Kisude,,0779159946,,06-04-2023
Gene Ber,32,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pakor,Pakor central,,0779127656,,06-04-2023
Leg tek,33,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pakor,Kabaye,,,,06-04-2023
Ideno iculu women's group,34,Omot Farmers Cooperative Society ltd,Agago,Omot,Opari,Atula central,,0770841379,,07-04-2023
Ideno iculu women's group,35,Omot Farmers Cooperative Society ltd,Agago,Omot,Opari,Atula central,,0770841379,,07-04-2023
DANO AYE LONYO VSLA,36,,Kitgum,Lagoro,Akuna,Akuna central,,0785858326,,07-04-2023
Rwot Twero,37,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Lagile,Polodong west,,0780647805,,08-04-2023
Can Peko,38,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Rackoko,Ewan Lwala,,0778550163,,08-04-2023
Konya Wek Aywe,39,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Rackoko,Rackoko B,,0773638952,,08-04-2023
Bed kigen c/p,40,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pakor,Pakor central,,0775877032,,09-04-2023
Rubanga Ber,41,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pakor,Kicude,,0774904497,,09-04-2023
